ZIP,LAT,LONG
2747,41.658,-71.01346
2748,41.553084,-70.971453
2760,41.972567,-71.334375
2762,42.012838,-71.336188
2763,41.966866,-71.308574
2764,41.851929,-71.153598
2766,41.965341,-71.18178
2767,41.940996,-71.048499
2769,41.846878,-71.24487
2770,41.760864,-70.838956
2771,41.839798,-71.318047
2777,41.758163,-71.214181
2779,41.838061,-71.077615
2780,41.909112,-71.118346
2790,41.599176,-71.082371
2791,41.530554,-71.084996
2802,41.95213,-71.456233
2804,41.433033,-71.770061
2806,41.733037,-71.319676
2807,41.176783,-71.577054
2808,41.410654,-71.73851
2809,41.67573,-71.273331
2812,41.477712,-71.658167
2813,41.394216,-71.669822
2814,41.895784,-71.705238
2815,41.778591,-71.66239
2816,41.696499,-71.622662
2817,41.628605,-71.658874
2818,41.642919,-71.485719
2822,41.575313,-71.587124
2823,41.733362,-71.543668
2824,41.999441,-71.562125
2825,41.782067,-71.726833
2826,41.987043,-71.648018
2827,41.698748,-71.739118
2828,41.877692,-71.560911
2829,41.893373,-71.589036
2830,41.975622,-71.656388
2831,41.746418,-71.584915
2832,41.506767,-71.728006
2833,41.485769,-71.785311
2835,41.510088,-71.378366
2836,41.454039,-71.620233
2837,41.518769,-71.167247
2838,41.965413,-71.479359
2839,41.945128,-71.642556
2840,41.476681,-71.319627
2841,41.507459,-71.330024
2842,41.517086,-71.273419
2852,41.588565,-71.459811
2857,41.822761,-71.633605
2858,41.964154,-71.650109
2859,41.959073,-71.757323
2860,41.870562,-71.388681
2861,41.878603,-71.353131
2863,41.890064,-71.393481
2864,41.96746,-71.420572
2865,41.915455,-71.449815
2871,41.586609,-71.259211
2872,41.596965,-71.320932
2873,41.533129,-71.780545
2874,41.509056,-71.474417
2875,41.45937,-71.637829
2876,41.997213,-71.584405
2878,41.606983,-71.182634
2879,41.428836,-71.538376
2881,41.482429,-71.52651
2882,41.417088,-71.47227
2885,41.726404,-71.259027
2886,41.701615,-71.455217
2888,41.748233,-71.407942
2889,41.701286,-71.377971
2891,41.357774,-71.789616
2892,41.499451,-71.601574
2893,41.679601,-71.521114
2894,41.44425,-71.699304
2895,42.001708,-71.499947
2896,41.975186,-71.544069
2898,41.51764,-71.668521
2903,41.819233,-71.410245
2904,41.858334,-71.436294
2905,41.785273,-71.396227
2906,41.839468,-71.389175
2907,41.798593,-71.42463
2908,41.839025,-71.43925
2909,41.818122,-71.451776
2910,41.774999,-71.435594
2911,41.854888,-71.472812
2912,41.825524,-71.403275
2914,41.813577,-71.366468
2915,41.772177,-71.354407
2916,41.842661,-71.352438
2917,41.906288,-71.523811
2918,41.843839,-71.435018
2919,41.82744,-71.519879
2920,41.767344,-71.465508
2921,41.762906,-71.514814
3031,42.874824,-71.600533
3032,42.993501,-71.363966
3033,42.749263,-71.67567
3034,43.056895,-71.340635
3036,42.98453,-71.255104
3037,43.136321,-71.255077
3038,42.892761,-71.276763
3042,43.051027,-71.088254
3043,42.994135,-71.816098
3044,43.000369,-71.119162
3045,43.021515,-71.563462
3046,43.112473,-71.607479
3047,42.93874,-71.879424
3048,42.742874,-71.761755
3049,42.749624,-71.585402
3051,42.760497,-71.409393
3052,42.846081,-71.468283
3053,42.868588,-71.387247
3054,42.852034,-71.519876
3055,42.818645,-71.673354
3057,42.908885,-71.694199
3060,42.741087,-71.458266
3062,42.722323,-71.501176
3063,42.7821,-71.518366
3064,42.77938,-71.47492
3070,42.976408,-71.686737
3071,42.746257,-71.874434
3076,42.730992,-71.337075
3077,43.032583,-71.203144
3079,42.788267,-71.221725
3082,42.896409,-71.768331
3084,42.826723,-71.875416
3086,42.832231,-71.759615
3087,42.811092,-71.302688
3101,42.989027,-71.466111
3102,43.011907,-71.491063
3103,42.956116,-71.442385
3104,43.009552,-71.439782
3106,43.081242,-71.446616
3109,42.963734,-71.40035
3110,42.935584,-71.536871
3215,44.069466,-71.420016
3216,43.450724,-71.7906
3217,43.725967,-71.642579
3218,43.336884,-71.273836
3220,43.474455,-71.482208
3221,43.258129,-71.960236
3222,43.643715,-71.799277
3223,43.85544,-71.685492
3224,43.350746,-71.547517
3225,43.363816,-71.24173
3226,43.702775,-71.510443
3227,43.817193,-71.460578
3229,43.202191,-71.696789
3230,43.52812,-71.864467
3231,43.450897,-71.754096
3233,43.424004,-71.931192
3234,43.204812,-71.348563
3235,43.448973,-71.674166
3237,43.431581,-71.387657
3238,43.98164,-71.887014
3240,43.574691,-71.951919
3241,43.707854,-71.814686
3242,43.169407,-71.831201
3243,43.528306,-71.769192
3244,43.119926,-71.921889
3245,43.761761,-71.582529
3246,43.576535,-71.482263
3249,43.519499,-71.375838
3251,44.094813,-71.631436
3253,43.631211,-71.498585
3254,43.71695,-71.365972
3255,43.314026,-72.024551
3256,43.623436,-71.632547
3257,43.417721,-71.990609
3258,43.265259,-71.408835
3259,43.878172,-71.499151
3260,43.368032,-71.917724
3261,43.211856,-71.223393
3262,43.999889,-71.714447
3263,43.288501,-71.309368
3264,43.738775,-71.702625
3266,43.782873,-71.884739
3268,43.386099,-71.772917
3269,43.529459,-71.600507
3273,43.301982,-71.926953
3275,43.170019,-71.420707
