concept_id,condition_count,patient_count
35850876,20,20
35850877,20,20
35850878,20,20
35850879,20,20
35850880,20,20
35850881,20,20
35850882,20,20
35850883,20,20
35850884,20,20
35850885,20,20
35850886,20,20
35850887,20,20
35850888,20,20
35850889,20,20
35850890,20,20
35850891,20,20
35850892,20,20
35850893,20,20
35853130,20,20
35853131,20,20
35871103,20,20
35871104,20,20
35871105,20,20
35871106,20,20
35871107,20,20
35872657,20,20
35872658,20,20
35872659,20,20
35872660,20,20
35872661,20,20
35872662,20,20
35872663,20,20
35872664,20,20
35872665,20,20
35872666,20,20
35872667,20,20
35872668,20,20
35872669,20,20
35872670,20,20
35872671,20,20
35884805,20,20
35884898,20,20
35884899,20,20
35884900,20,20
35885071,20,20
35885072,20,20
35885073,20,20
35885074,20,20
35885075,20,20
35885076,20,20
35885119,20,20
35885151,20,20
35885260,20,20
35885318,20,20
35885319,20,20
35885320,20,20
35885321,20,20
35885322,20,20
35885323,20,20
35885357,20,20
35885358,20,20
35885359,20,20
35885360,20,20
35885365,20,20
35885557,20,20
35885558,20,20
35885559,20,20
35885560,20,20
35885561,20,20
35885562,20,20
35885693,20,20
35885694,20,20
35885804,20,20
35885805,20,20
35885806,20,20
35885808,20,20
35885809,20,20
35885810,20,20
35887474,20,20
35887475,20,20
35887984,20,20
35887986,20,20
35887987,20,20
35887988,20,20
35888119,20,20
35888120,20,20
35896507,20,20
35896508,20,20
35896509,20,20
35896519,20,20
35896674,20,20
35896675,20,20
35897164,20,20
35898296,20,20
35898297,20,20
35898298,20,20
35898299,20,20
35898300,20,20
35898301,20,20
35906813,20,20
35907354,20,20
35907446,20,20
35908435,20,20
36000043,20,20
36000191,20,20
36000365,20,20
36000892,20,20
36001062,20,20
36001196,20,20
36001251,20,20
36001305,20,20
36001815,20,20
36001816,20,20
36001817,20,20
36003702,20,20
36003967,20,20
36004199,20,20
36005587,20,20
36006539,20,20
36006878,20,20
36007963,20,20
36008061,20,20
36009005,20,20
36034571,20,20
36035528,20,20
36035530,20,20
36036702,20,20
36036703,20,20
36036704,20,20
36036705,20,20
36036706,20,20
36036707,20,20
36036708,20,20
36036709,20,20
36036710,20,20
36036711,20,20
36036712,20,20
36036713,20,20
36036722,20,20
36036723,20,20
36036724,20,20
36036725,20,20
36036726,20,20
36036727,20,20
36036728,20,20
36036894,20,20
36036895,20,20
36036896,20,20
36036897,20,20
36036898,20,20
36036899,20,20
36036900,20,20
36036901,20,20
36036902,20,20
36036903,20,20
36036904,20,20
36036906,20,20
36036907,20,20
36036908,20,20
36036909,20,20
36036910,20,20
36036911,20,20
36036912,20,20
36036913,20,20
36036914,20,20
36036915,20,20
36036916,20,20
36036917,20,20
36036918,20,20
36036919,20,20
36037649,20,20
36037650,20,20
36037652,20,20
36037669,20,20
36037679,20,20
36037680,20,20
36037681,20,20
36037682,20,20
36037687,20,20
36052622,20,20
36052623,20,20
36052667,20,20
36052668,20,20
36052669,20,20
36052701,20,20
36053043,20,20
36053072,20,20
36053073,20,20
